"Player","Pos","Pos2","Team","Opp","Hand","Order","Salary","Projection","SE","DvP","DvP2","DFC","FanGraphs","FantasyPros","lineupLab","numberFire","RotoGrinders","Rotowire","SwishAnalytics","DvPRank","Line","Spread","OU","ParkFactor","Label"
"Nick Castellanos","3B","","DET","BOS","R",2,3400,7.63,0.78,0,NA,8.65,6.79,8.5,NA,7.7,6.73,7.13,7.93,0,102,0.12,7.5,0.99,"N. Castellanos"
"Jay Bruce","OF","","NYM","MIA","L",6,3300,7.62,0.62,0,NA,8.37,7,8.1,NA,7.8,6.67,7.98,7.39,0,-166,-0.92,7,1.06,"J. Bruce"
"Neil Walker","2B","","NYM","MIA","S",5,3300,7.57,0.96,0,NA,9.22,7.21,8.1,NA,7.5,6.17,7.81,6.95,0,-166,-0.92,7,1.06,"N. Walker"
"Justin Upton","OF","","DET","BOS","R",5,3700,7.56,1.38,0,NA,10.64,6.85,7.1,NA,7.2,6.84,7.56,6.75,0,102,0.12,7.5,0.99,"J. Upton"
"Kendrys Morales","1B","","TOR","@TBR","S",4,3300,7.56,1.09,0,NA,9.75,7.38,6.6,NA,8,6.73,7.57,6.89,0,-121,-0.300000000000001,8,1.04,"K. Morales"
"Corey Dickerson","OF","","TBR","TOR","L",1,3100,7.55,0.94,0,NA,8.96,7.44,7.4,NA,7.9,5.94,8.14,7.06,0,111,0.3,8,1.04,"C. Dickerson"
"Justin Upton","OF","","DET","BOS","R",5,3700,7.54,1.4,0,NA,10.64,6.85,7.1,NA,7.2,6.84,7.56,6.59,0,102,0.12,7.5,0.99,"J. Upton"
"Corey Dickerson","OF","","TBR","TOR","L",1,3100,7.49,0.99,0,NA,8.96,7.44,7.4,NA,7.9,5.94,8.14,6.66,0,111,0.3,8,1.04,"C. Dickerson"
"Kole Calhoun","OF","","LAA","SEA","L",2,3400,7.47,1.15,0,NA,9.66,7.32,7.5,NA,7.2,7.08,7.73,5.78,0,-114,-0.18,8.5,1.05,"K. Calhoun"
"Chris Davis","1B","OF","BAL","NYY","L",5,4500,7.47,1.03,0,NA,9.33,7.04,6.8,NA,7.3,6.28,8.32,7.19,0,-119,-0.279999999999999,8.5,0.97,"C. Davis"
"Eric Hosmer","1B","","KCR","@HOU","L",4,3500,7.43,0.89,0,NA,8.91,7.01,7.7,NA,7.2,6.45,8.15,6.57,0,178,1.48,8.5,1,"E. Hosmer"
"Brandon Crawford","SS","","SFG","@SDP","L",5,3500,7.43,0.92,0,NA,8.89,7.1,7.1,NA,8.3,6.06,7.48,7.05,0,-155,-0.84,7.5,1.05,"B. Crawford"
"Jose Ramirez","3B","OF","CLE","@ARI","S",5,3900,7.42,2.78,0,NA,10.06,8.23,0.8,7.8,8.6,7.48,7.96,8.42,0,-187,-1.6,9.5,0.96,"J. Ramirez"
"Brett Gardner","OF","","NYY","@BAL","L",1,4200,7.42,0.9,0,NA,8.55,7.59,7.2,NA,7.1,5.71,8.04,7.78,0,109,0.279999999999999,8.5,0.97,"B. Gardner"
"Michael Brantley","OF","","CLE","@ARI","L",3,4500,7.41,0.76,0,NA,7.18,NA,6.3,8.1,7.1,6.91,7.8,8.49,0,-187,-1.6,9.5,0.96,"M. Brantley"
"Andrew Benintendi","OF","","BOS","@DET","L",2,3400,7.4,0.94,0,NA,7.24,7.24,6.7,NA,8.7,6.2,8.66,7.09,0,-112,-0.12,7.5,0.99,"A. Benintendi"
"Cameron Maybin","OF","","LAA","SEA","R",6,3300,7.4,1.1,0,NA,9.68,6.73,7.6,NA,7.2,6.18,7.32,7.11,0,-114,-0.18,8.5,1.05,"C. Maybin"
"Starlin Castro","2B","SS","NYY","@BAL","R",5,3900,7.37,0.66,0,NA,8.56,7.23,7.8,NA,7.4,6.51,7.14,6.94,0,109,0.279999999999999,8.5,0.97,"S. Castro"
"Mike Moustakas","3B","","KCR","@HOU","L",2,2800,7.35,0.9,0,NA,6.95,7.08,8.1,NA,8.5,5.83,7.91,7.07,0,178,1.48,8.5,1,"M. Moustakas"
"Brad Miller","SS","","TBR","TOR","L",4,3400,7.34,1.16,0,NA,9.49,7.25,7,NA,7.7,5.93,7.72,6.3,0,111,0.3,8,1.04,"B. Miller"
"Starlin Castro","2B","SS","NYY","@BAL","R",5,3900,7.33,0.69,0,NA,8.56,7.23,7.8,NA,7.4,6.51,7.14,6.69,0,109,0.279999999999999,8.5,0.97,"S. Castro"
"Travis Jankowski","OF","","SDP","SFG","L",2,2600,7.32,0.84,0,NA,7.98,7.96,7.9,NA,6.6,5.99,8.02,6.79,0,145,0.84,7.5,1.05,"T. Jankowski"
"Brad Miller","SS","","TBR","TOR","L",4,3400,7.32,1.18,0,NA,9.49,7.25,7,NA,7.7,5.93,7.72,6.18,0,111,0.3,8,1.04,"B. Miller"
"Adam Duvall","1B","OF","CIN","@STL","R",4,3700,7.31,0.95,0,NA,8.98,6.84,6.8,NA,7.7,6.17,7.93,6.75,0,172,1.3,8,1.02,"A. Duvall"
